ID,Üniversite,Bölüm,En Küçük Puan
1,YEDITEPE UNIVERSITESI,Gastronomi ve Mutfak Sanatlari,580.0
2,BOGAZICI UNIVERSITESI,Tarih,561.0
3,BOGAZICI UNIVERSITESI,Iktisat,557.0
4,ISTANBUL MEDIPOL UNIVERSITESI,Tip,555.35802
5,KOC UNIVERSITESI,Tip,554.84947
6,KOC UNIVERSITESI,Fizik,553.54055
7,ACIBADEM MEHMET ALI AYDINLAR UNIVERSITESI,Tip,553.48171
8,KOC UNIVERSITESI,Bilgisayar Muhendisligi,552.72452
9,KOC UNIVERSITESI,Molekuler Biyoloji ve Genetik,544.30396
10,ISTANBUL UNIVERSITESI-CERRAHPASA,Tip,543.69692
11,OZYEGIN UNIVERSITESI,Pilotaj,543.23776
12,KOC UNIVERSITESI,Makine Muhendisligi,542.0126
13,KOC UNIVERSITESI,Kimya-Biyoloji Muhendisligi,541.32989
14,BOGAZICI UNIVERSITESI,Isletme,541.0
15,SABANCI UNIVERSITESI,Muhendislik ve Doga Bilimleri Programlari,540.27125
16,TOBB EKONOMI VE TEKNOLOJI UNIVERSITESI,Bilgisayar Muhendisligi,539.92305
17,OZYEGIN UNIVERSITESI,Bilgisayar Muhendisligi,539.80868
18,ESKISEHIR TEKNIK UNIVERSITESI,Pilotaj,539.34625
19,IHSAN DOGRAMACI BILKENT UNIVERSITESI,Endustri Muhendisligi,539.21691
20,ISTANBUL TEKNIK UNIVERSITESI,Yapay Zeka ve Veri Muhendisligi,539.20241
21,BOGAZICI UNIVERSITESI,Elektrik-Elektronik Muhendisligi,539.18464
22,BOGAZICI UNIVERSITESI,Endustri Muhendisligi,538.64829
23,TOBB EKONOMI VE TEKNOLOJI UNIVERSITESI,Yapay Zeka Muhendisligi,538.40517
24,YEDITEPE UNIVERSITESI,Tip,537.6416
25,KOC UNIVERSITESI,Ekonomi,537.57286
26,KOC UNIVERSITESI,Kimya,536.66923
27,IHSAN DOGRAMACI BILKENT UNIVERSITESI,Bilgisayar Muhendisligi,536.07254
28,ANKARA UNIVERSITESI,Tip,535.75221
29,ORTA DOGU TEKNIK UNIVERSITESI,Endustri Muhendisligi,535.40903
30,IHSAN DOGRAMACI BILKENT UNIVERSITESI,Makine Muhendisligi,535.34807
31,ISTANBUL TEKNIK UNIVERSITESI,Elektronik ve Haberlesme Muhendisligi,535.1846
32,OZYEGIN UNIVERSITESI,Elektrik-Elektronik Muhendisligi,534.41076
33,ISTANBUL TEKNIK UNIVERSITESI,Endustri Muhendisligi,534.14396
34,BAHCESEHIR UNIVERSITESI,Pilotaj,534.02573
35,IHSAN DOGRAMACI BILKENT UNIVERSITESI,Molekuler Biyoloji ve Genetik,533.41513
36,TOBB EKONOMI VE TEKNOLOJI UNIVERSITESI,Elektrik-Elektronik Muhendisligi,533.39678
37,IHSAN DOGRAMACI BILKENT UNIVERSITESI,Elektrik-Elektronik Muhendisligi,533.19663
38,TOBB EKONOMI VE TEKNOLOJI UNIVERSITESI,Endustri Muhendisligi,532.81897
39,GALATASARAY UNIVERSITESI,Bilgisayar Muhendisligi,532.57748
40,ORTA DOGU TEKNIK UNIVERSITESI,Havacilik ve Uzay Muhendisligi,532.4976
41,ISTANBUL UNIVERSITESI,Tip,532.2652
42,BOGAZICI UNIVERSITESI,Makine Muhendisligi,531.70153
43,ISTANBUL TEKNIK UNIVERSITESI,Ucak Muhendisligi,531.59839
44,YEDITEPE UNIVERSITESI,Bilgisayar Muhendisligi,531.39539
45,IHSAN DOGRAMACI BILKENT UNIVERSITESI,Bilisim Sistemleri ve Teknolojileri,531.32417
46,KTO KARATAY UNIVERSITESI,Pilotaj,531.15512
47,IHSAN DOGRAMACI BILKENT UNIVERSITESI,Fizik,530.7719
48,OZYEGIN UNIVERSITESI,Endustri Muhendisligi,530.5533
49,HACETTEPE UNIVERSITESI,Yapay Zeka Muhendisligi,528.67069
50,HACETTEPE UNIVERSITESI,Tip,528.46852
51,TURK HAVA KURUMU UNIVERSITESI,Pilotaj,528.35101
52,ISTANBUL AYDIN UNIVERSITESI,Pilotaj,527.84502
53,BAHCESEHIR UNIVERSITESI,Bilgisayar Muhendisligi,527.84139
54,TOBB EKONOMI VE TEKNOLOJI UNIVERSITESI,Makine Muhendisligi,527.48902
55,BAHCESEHIR UNIVERSITESI,Tip,527.47066
56,GALATASARAY UNIVERSITESI,Endustri Muhendisligi,526.20438
57,TURK-ALMAN UNIVERSITESI,Bilgisayar Muhendisligi,526.09257
58,ISTANBUL TEKNIK UNIVERSITESI,Uzay Muhendisligi,525.34128
59,ISTANBUL OKAN UNIVERSITESI,Pilotaj,524.78645
60,IHSAN DOGRAMACI BILKENT UNIVERSITESI,Matematik,524.42991
61,BOGAZICI UNIVERSITESI,Kimya Muhendisligi,524.41264
62,GAZI UNIVERSITESI,Tip,523.89939
63,BASKENT UNIVERSITESI,Tip,523.33164
